grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, example_pan16, '15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10', 2, 3776, 0.000271, 1.39336e+07
x, dfid, example_pan16, '5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15', 2, 852, 6.3e-05, 1.35238e+07
x, dfid, example_pan16, '7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15', 2, 627, 4.6e-05, 1.36304e+07
x, dfid, example_pan16, '7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15', 2, 1398, 0.0001, 1.398e+07
x, dfid, example_pan16, '10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15', 2, 2523, 0.000208, 1.21298e+07
x, dfid, example_pan16, '1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15', 2, 3101, 0.000259, 1.1973e+07
