grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, 11puzzle, '3 2 B 4 1 5 6 7 8 9 10 11', 22, 18442153, 1.16487, 1.5832e+07
x, dfid, 11puzzle, '1 5 4 7 B 2 3 6 10 9 11 8', na, na, na, na 
x, dfid, 11puzzle, '1 7 B 3 6 2 11 8 9 4 5 10', 30, 4491108391, 305.555, 1.46982e+07
x, dfid, 11puzzle, '3 1 4 6 B 7 9 5 2 10 8 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 4 5 9 7 B 11 8 10', 32, 8683209113, 556.295, 1.5609e+07
x, dfid, 11puzzle, '1 2 B 3 4 11 7 8 5 6 9 10', 24, 90985481, 5.22801, 1.74035e+07
x, dfid, 11puzzle, '3 1 2 8 B 4 6 10 9 5 7 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 B 6 8 2 5 4 10 9 11 7', na, na, na, na 
x, dfid, 11puzzle, '1 5 B 3 2 8 6 4 11 9 7 10', na, na, na, na 
x, dfid, 11puzzle, '4 1 3 10 2 5 7 8 11 6 B 9', na, na, na, na 
x, dfid, 11puzzle, 'B 4 2 1 8 3 6 10 7 11 9 5', na, na, na, na 
x, dfid, 11puzzle, 'B 4 5 1 6 7 3 10 2 9 11 8', na, na, na, na 
x, dfid, 11puzzle, '1 5 B 6 2 8 3 4 11 7 9 10', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 4 7 9 8 10 11 B 5', na, na, na, na 
x, dfid, 11puzzle, '2 5 B 9 11 8 1 7 6 3 10 4', na, na, na, na 
x, dfid, 11puzzle, '5 1 B 3 4 2 8 6 7 9 10 11', 30, 4289888140, 297.919, 1.43995e+07
x, dfid, 11puzzle, '1 4 2 3 5 8 6 10 7 9 B 11', 26, 198704762, 12.8638, 1.54469e+07
x, dfid, 11puzzle, '3 6 2 1 7 5 9 4 8 10 B 11', na, na, na, na 
x, dfid, 11puzzle, '1 2 5 11 B 4 7 3 10 6 9 8', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 11 7 5 9 10 B 6 4 8', na, na, na, na 
