grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, topspin16-4, '14 13 4 5 1 2 8 9 3 6 7 0 12 11 10 15', 6, 6765117, 0.246993, 2.73899e+07
x, dfid, topspin16-4, '5 6 8 7 3 2 9 10 11 12 13 14 4 1 0 15', 4, 53333, 0.002304, 2.3148e+07
x, dfid, topspin16-4, '2 1 5 6 9 13 12 7 14 10 11 8 3 4 0 15', 6, 5095751, 0.172796, 2.949e+07
x, dfid, topspin16-4, '7 12 4 3 6 5 13 9 2 14 8 11 1 10 0 15', 8, 87605715, 3.00688, 2.91351e+07
x, dfid, topspin16-4, '3 4 12 11 6 5 8 7 10 9 13 14 2 1 0 15', 4, 47022, 0.001817, 2.58789e+07
x, dfid, topspin16-4, '14 13 5 1 0 3 2 9 8 7 6 10 11 12 4 15', 4, 103878, 0.003027, 3.43171e+07
x, dfid, topspin16-4, '0 3 14 11 12 2 1 13 4 5 6 7 8 9 10 15', 4, 34953, 0.000998, 3.5023e+07
x, dfid, topspin16-4, '0 4 5 1 2 3 6 13 9 8 7 12 11 10 14 15', 4, 44256, 0.001295, 3.41745e+07
x, dfid, topspin16-4, '9 8 14 0 1 5 4 10 6 7 11 3 2 12 13 15', 8, 510334693, 18.0625, 2.82539e+07
x, dfid, topspin16-4, '3 4 9 13 6 5 8 7 12 11 10 14 2 1 0 15', 4, 47130, 0.001928, 2.4445e+07
x, dfid, topspin16-4, '6 7 5 2 14 10 9 12 0 1 13 3 8 11 4 15', na, na, na, na 
x, dfid, topspin16-4, '0 4 3 2 1 5 9 8 7 6 10 11 12 13 14 15', 2, 449, 1.5e-05, 2.99333e+07
x, dfid, topspin16-4, '7 5 13 12 2 8 11 1 6 9 10 14 0 3 4 15', na, na, na, na 
x, dfid, topspin16-4, '3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15', 4, 89888, 0.003935, 2.28432e+07
x, dfid, topspin16-4, '0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15', 2, 1112, 3.5e-05, 3.17714e+07
x, dfid, topspin16-4, '11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15', na, na, na, na 
x, dfid, topspin16-4, '1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15', na, na, na, na 
x, dfid, topspin16-4, '14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15', 10, 19242520178, 545.962, 3.52452e+07
x, dfid, topspin16-4, '3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15', 8, 106051791, 2.88191, 3.67992e+07
x, dfid, topspin16-4, '0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15', 4, 71213, 0.001893, 3.76191e+07
x, dfid, topspin16-4, '3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15', 4, 30638, 0.000819, 3.7409e+07
x, dfid, topspin16-4, '1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15', na, na, na, na 
x, dfid, topspin16-4, '8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15', na, na, na, na 
x, dfid, topspin16-4, '4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15', 6, 6870283, 0.18411, 3.73162e+07
x, dfid, topspin16-4, '0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15', 6, 2369599, 0.06441, 3.67893e+07
x, dfid, topspin16-4, '14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15', na, na, na, na 
x, dfid, topspin16-4, '2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15', 8, 157806976, 4.2862, 3.68174e+07
x, dfid, topspin16-4, '2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15', 6, 4078806, 0.110406, 3.69437e+07
x, dfid, topspin16-4, '3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15', 6, 4251459, 0.113182, 3.7563e+07
x, dfid, topspin16-4, '0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15', 8, 153211826, 4.20821, 3.64079e+07
x, dfid, topspin16-4, '8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15', na, na, na, na 
x, dfid, topspin16-4, '0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15', na, na, na, na 
x, dfid, topspin16-4, '0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15', 2, 840, 2.5e-05, 3.36e+07
x, dfid, topspin16-4, '11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15', na, na, na, na 
x, dfid, topspin16-4, '7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15', na, na, na, na 
x, dfid, topspin16-4, '14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15', 6, 4957574, 0.13276, 3.73424e+07
x, dfid, topspin16-4, '11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15', 8, 368003453, 10.0074, 3.6773e+07
x, dfid, topspin16-4, '13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15', 10, 9790304757, 268.367, 3.6481e+07
x, dfid, topspin16-4, '12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15', na, na, na, na 
x, dfid, topspin16-4, '3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15', 6, 3198086, 0.086759, 3.68617e+07
x, dfid, topspin16-4, '14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15', 2, 1566, 4.2e-05, 3.72857e+07
x, dfid, topspin16-4, '3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15', 8, 123018547, 3.37313, 3.64702e+07
x, dfid, topspin16-4, '4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15', 8, 292202939, 7.92797, 3.68572e+07
x, dfid, topspin16-4, '7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15', na, na, na, na 
x, dfid, topspin16-4, '2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15', 8, 417130081, 12.4919, 3.33921e+07
x, dfid, topspin16-4, '0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15', 4, 92778, 0.002493, 3.72154e+07
x, dfid, topspin16-4, '14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15', 4, 70929, 0.001852, 3.82986e+07
x, dfid, topspin16-4, '0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15', 10, 6190570892, 172.58, 3.58707e+07
x, dfid, topspin16-4, '5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15', 8, 75314008, 2.03104, 3.70815e+07
x, dfid, topspin16-4, '14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15', 10, 11541015919, 321.072, 3.59453e+07
x, dfid, topspin16-4, '14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15', na, na, na, na 
x, dfid, topspin16-4, '6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15', na, na, na, na 
x, dfid, topspin16-4, '14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15', 4, 100650, 0.002637, 3.81684e+07
x, dfid, topspin16-4, '5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15', 4, 17016, 0.000468, 3.6359e+07
x, dfid, topspin16-4, '0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15', 4, 85873, 0.002303, 3.72875e+07
x, dfid, topspin16-4, '2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15', 10, 7706279393, 216.634, 3.55729e+07
x, dfid, topspin16-4, '13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15', 8, 607827078, 16.6797, 3.64411e+07
x, dfid, topspin16-4, '9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15', na, na, na, na 
x, dfid, topspin16-4, '3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15', na, na, na, na 
