grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, pancake16, '15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13', na, na, na, na 
x, dfid, pancake16, '9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10', na, na, na, na 
x, dfid, pancake16, '1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8', na, na, na, na 
x, dfid, pancake16, '3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2',4,507979,0.033979,14949800
x, dfid, pancake16, '4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15', na, na, na, na 
x, dfid, pancake16, '1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10', na, na, na, na 
x, dfid, pancake16, '14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11', na, na, na, na 
x, dfid, pancake16, '11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15',4,132816,0.011417,11633200
x, dfid, pancake16, '14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0',6,12362330,1.01047,12234200
x, dfid, pancake16, '13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15',1,197,0.000024,8208330
x, dfid, pancake16, '4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10', na, na, na, na 
x, dfid, pancake16, '5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11',4,418795,0.031693,13214100
x, dfid, pancake16, '1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15',7,751159481,56.8415,13215000
x, dfid, pancake16, '4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15',2,288,0.00003,9600000
x, dfid, pancake16, '9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15',4,72196,0.005238,13783100
x, dfid, pancake16, '5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15',4,242767,0.018308,13260200
x, dfid, pancake16, '15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13', na, na, na, na 
x, dfid, pancake16, '6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15',3,18946,0.001352,14013300
x, dfid, pancake16, '3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15',5,3032303,0.217407,13947600
x, dfid, pancake16, '7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15',3,11004,0.000789,13946800
x, dfid, pancake16, '15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9',6,57003363,4.33745,13142100
x, dfid, pancake16, '2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15', na, na, na, na 
x, dfid, pancake16, '9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15',6,40038567,2.98143,13429300
x, dfid, pancake16, '10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2', na, na, na, na 
x, dfid, pancake16, '2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15',3,12013,0.000884,13589400
x, dfid, pancake16, '4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15', na, na, na, na 
x, dfid, pancake16, '3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15',7,854335743,64.6096,13223100
x, dfid, pancake16, '6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15',2,318,0.000032,9937500
x, dfid, pancake16, '0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13', na, na, na, na 
x, dfid, pancake16, '10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15',6,84557064,6.45638,13096700
x, dfid, pancake16, '15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2',2,3211,0.00031,10358100
x, dfid, pancake16, '1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15',2,2728,0.000247,11044500
x, dfid, pancake16, '7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15',4,310924,0.02706,11490200
x, dfid, pancake16, '3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4', na, na, na, na 
x, dfid, pancake16, '1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15',4,66559,0.004827,13788900
x, dfid, pancake16, '10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11', na, na, na, na 
x, dfid, pancake16, '3 4 5 6 7 1 12 11 8 9 2 0 10 13 14 15', na, na, na, na 
x, dfid, pancake16, '12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15',2,633,0.000072,8791670
x, dfid, pancake16, '0 1 2 3 9 8 10 11 12 13 14 15 4 5 6 7',6,31265351,2.54895,12266000
