grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, manhattan, 1.5, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 58, 54, 359971, 1.33089, 270473
x, wida, manhattan, 1.5, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 48, 45, 78092, 0.285611, 273421
x, wida, manhattan, 1.5, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 70, 72, 9207, 0.03346, 275164
x, wida, manhattan, 1.5, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 48, 1928407, 7.13143, 270410
x, wida, manhattan, 1.5, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 57, 58, 48880, 0.180514, 270782
x, wida, manhattan, 1.5, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 51, 52, 282185, 1.03035, 273874
x, wida, manhattan, 1.5, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 51, 52, 157329, 0.567499, 277232
x, wida, manhattan, 1.5, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 55, 58, 148911, 0.548594, 271441
x, wida, manhattan, 1.5, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 49, 2841880, 10.5297, 269892
x, wida, manhattan, 1.5, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 59, 58, 471115, 1.745, 269980
x, wida, manhattan, 1.5, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 60, 66, 411146, 1.55927, 263679
x, wida, manhattan, 1.5, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 60, 57, 2266409, 8.92958, 253809
x, wida, manhattan, 1.5, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 70, 75, 2090767, 8.55617, 244358
x, wida, manhattan, 1.5, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 60, 60, 831272, 3.25655, 255262
x, wida, manhattan, 1.5, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 47, 43, 113093, 0.417931, 270602
x, wida, manhattan, 1.5, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 43, 24634996, 95.9885, 256645
x, wida, manhattan, 1.5, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 52, 54, 66912, 0.249871, 267786
x, wida, manhattan, 1.5, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 51, 55, 342890, 1.28093, 267689
x, wida, manhattan, 1.5, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 59, 52, 21536936, 86.602, 248689
x, wida, manhattan, 1.5, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 72, 72, 1197962, 4.67339, 256337
x, wida, manhattan, 1.5, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 47, 46, 512946, 1.96475, 261075
x, wida, manhattan, 1.5, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 61, 64, 203879, 0.766184, 266097
x, wida, manhattan, 1.5, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', na, na, na, na, na 
x, wida, manhattan, 1.5, 15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 53, 46, 8484536, 31.9547, 265518
x, wida, manhattan, 1.5, 15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 49, 46, 228377, 0.860476, 265408
x, wida, manhattan, 1.5, 15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 65, 61, 4299770, 17.8402, 241015
x, wida, manhattan, 1.5, 15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 42, 3920833, 15.5564, 252041
x, wida, manhattan, 1.5, 15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 53, 46, 3089182, 11.4189, 270532
x, wida, manhattan, 1.5, 15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 57, 55, 2694532, 10.428, 258393
x, wida, manhattan, 1.5, 15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 54, 45, 5366870, 21.4481, 250226
x, wida, manhattan, 1.5, 15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 46, 45, 1044988, 4.24717, 246043
x, wida, manhattan, 1.5, 15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 58, 57, 37094118, 141.937, 261341
x, wida, manhattan, 1.5, 15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 51, 55, 21483, 0.077159, 278425
x, wida, manhattan, 1.5, 15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 66, 69, 447715, 1.63404, 273992
x, wida, manhattan, 1.5, 15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 48, 45, 8896084, 32.6277, 272654
x, wida, manhattan, 1.5, 15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 63, 61, 4599988, 18.3502, 250678
