grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, manhattan, 2, 15puzzle_korf, '5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3', 66, 72, 49035, 0.176393, 277987
x, wida, manhattan, 2, 15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 73, 82, 18597, 0.068986, 269576
x, wida, manhattan, 2, 15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 63, 74, 71375, 0.272959, 261486
x, wida, manhattan, 2, 15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 62, 68, 304119, 1.33858, 227195
x, wida, manhattan, 2, 15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 85, 90, 50920, 0.188509, 270120
x, wida, manhattan, 2, 15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 62, 68, 11223, 0.04057, 276633
x, wida, manhattan, 2, 15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 61, 70, 496134, 2.04521, 242584
x, wida, manhattan, 2, 15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 58, 64, 59158, 0.211773, 279346
x, wida, manhattan, 2, 15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 64, 68, 10175, 0.038391, 265036
x, wida, manhattan, 2, 15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 69, 78, 468811, 1.71995, 272573
x, wida, manhattan, 2, 15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 72, 76, 1185268, 4.36994, 271232
