grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, pdb555, 1.5, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 58, 60, 14146671, 3.06594, 4.61414e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 52, 4423935, 0.91065, 4.858e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 54, 54, 21504640, 4.4993, 4.77955e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 54, 54, 18244733, 3.78403, 4.82151e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 42, 48, 58439, 0.011673, 5.00634e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 64, 78, 21915794, 4.52166, 4.84685e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 54, 2294779, 0.474262, 4.83863e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 51, 58, 210574, 0.043779, 4.80993e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 49, 58, 381622, 0.076952, 4.95922e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 47, 52, 1134198, 0.243269, 4.66232e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 49, 61, 114217, 0.022486, 5.07947e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 55, 123828705, 25.5283, 4.85064e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 53, 58, 17996797, 3.74559, 4.80479e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 56, 66, 12559406, 2.58117, 4.86578e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 56, 63, 10681280, 2.20961, 4.83401e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 64, 75, 372460740, 77.9184, 4.78014e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 56, 60, 35137837, 7.33012, 4.79362e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 41, 49, 123057, 0.026066, 4.72098e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 49, 113373190, 23.3795, 4.84925e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 50, 57, 3497243, 0.685858, 5.09908e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 51, 55, 3676141, 0.794682, 4.62593e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 57, 55, 154159594, 32.0164, 4.81502e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 66, 72, 334867050, 69.3444, 4.82904e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 45, 49, 455447, 0.088909, 5.12262e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 57, 64, 8446194, 1.71835, 4.91529e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 56, 60, 121419043, 25.4801, 4.76525e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 51, 49, 28391409, 5.98442, 4.74422e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 47, 52, 444868, 0.099656, 4.46404e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 61, 67, 205396518, 41.6214, 4.93488e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 48, 16601791, 3.72199, 4.46046e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 51, 52, 12659986, 3.46766, 3.65087e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 53, 58, 22014845, 4.98695, 4.41449e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 52, 51, 23066544, 5.20211, 4.43407e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 44, 48, 402534, 0.082318, 4.88999e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 56, 63, 60463644, 12.4046, 4.87431e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 49, 55, 240989, 0.047163, 5.1097e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 56, 72, 3528702, 0.732776, 4.81553e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 48, 51, 4212580, 0.838357, 5.0248e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 57, 61, 57411279, 12.1839, 4.71208e+06
x, wida, pdb555, 1.5, 15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 54, 51, 5567122, 1.16189, 4.79143e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 53, 61, 2526983, 0.523879, 4.8236e+06
x, wida, pdb555, 1.5, 15puzzle_korf, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 42, 45, 100368, 0.022507, 4.45941e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 57, 64, 55842762, 11.1145, 5.02434e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 53, 58, 946233, 0.200991, 4.70784e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B', na, na, na, na, na 
x, wida, pdb555, 1.5, 15puzzle_korf, '12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8', 49, 58, 757960, 0.150194, 5.04654e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2', 55, 61, 17891332, 3.47808, 5.14403e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15', 44, 51, 623641, 0.118237, 5.2745e+06
